Transmitter,TransmitterName,State,NextState,T_lower,T_upper,Setup
A180-1702-10460,10460,LVR,{'DTH'},0.0,10.0,2018
A180-1702-10769,10769,LVR,{'DTH'},0.0,10.0,2018
A180-1702-10953,10953,RGT,{'DTH'},0.0,10.0,2018
A180-1702-11142,11142,RGT,{'DTH'},2646412.0,2646422.0,2018
A180-1702-11268,11268,RGT,{'DTH'},0.0,10.0,2018
A180-1702-11474,11474,LVR,{'DTH'},0.0,10.0,2018
A180-1702-11775,11775,LVR,{'DTH'},0.0,10.0,2018
A180-1702-12835,12835,RGT,{'DTH'},0.0,10.0,2018
A180-1702-13006,13006,RGT,{'DTH'},0.0,10.0,2018
A180-1702-13411,13411,RGT,{'DTH'},2251649.0,2251659.0,2018
A180-1702-13686,13686,LVR,{'DTH'},0.0,10.0,2018
A180-1702-14322,14322,RGT,{'DTH'},0.0,10.0,2018
A180-1702-16499,16499,RGT,{'DTH'},0.0,10.0,2018
A180-1702-16519,16519,LVR,{'DTH'},0.0,10.0,2018
A180-1702-16612,16612,RGT,{'DTH'},0.0,10.0,2018
A180-1702-17286,17286,RGT,{'DTH'},0.0,10.0,2018
A180-1702-17427,17427,RGT,{'DTH'},2098342.0,2098352.0,2018
A180-1702-17778,17778,LVR,{'DTH'},0.0,10.0,2018
A180-1702-17875,17875,RGT,{'DTH'},0.0,10.0,2018
A180-1702-18207,18207,RGT,{'DTH'},0.0,10.0,2018
A180-1702-18625,18625,RGT,{'DTH'},0.0,10.0,2018
A180-1702-19759,19759,RGT,{'DTH'},3047822.0,3047832.0,2018
A180-1702-20182,20182,RGT,{'DTH'},0.0,10.0,2018
A180-1702-20256,20256,LVR,{'DTH'},0.0,10.0,2018
A180-1702-20960,20960,RGT,{'DTH'},0.0,10.0,2018
A180-1702-21508,21508,LVR,{'DTH'},0.0,10.0,2018
A180-1702-22150,22150,RGT,{'DTH'},0.0,10.0,2018
A180-1702-2247,2247,RGT,{'DTH'},0.0,10.0,2018
A180-1702-22770,22770,RGT,{'DTH'},0.0,10.0,2018
A180-1702-22909,22909,LVR,{'DTH'},0.0,10.0,2018
A180-1702-23199,23199,RGT,{'DTH'},0.0,10.0,2018
A180-1702-23204,23204,RGT,{'DTH'},0.0,10.0,2018
A180-1702-23356,23356,LVR,{'DTH'},0.0,10.0,2018
A180-1702-24040,24040,RGT,{'DTH'},0.0,10.0,2018
A180-1702-25023,25023,LVR,{'DTH'},2544651.0,2544661.0,2018
A180-1702-25159,25159,RGT,{'DTH'},4477669.0,4477679.0,2018
A180-1702-25483,25483,RGT,{'DTH'},892287.0,892297.0,2018
A180-1702-25934,25934,RGT,{'DTH'},0.0,10.0,2018
A180-1702-26384,26384,RGT,{'DTH'},0.0,10.0,2018
A180-1702-26573,26573,LVR,{'DTH'},0.0,10.0,2018
A180-1702-26585,26585,RGT,{'DTH'},0.0,10.0,2018
A180-1702-26799,26799,RGT,{'DTH'},0.0,10.0,2018
A180-1702-27159,27159,LVR,{'DTH'},14790.0,14800.0,2018
A180-1702-27363,27363,RGT,{'DTH'},0.0,10.0,2018
A180-1702-2788,2788,RGT,{'DTH'},2048044.0,2048054.0,2018
A180-1702-28360,28360,RGT,{'DTH'},21064.0,21074.0,2018
A180-1702-2878,2878,LVR,{'DTH'},0.0,10.0,2018
A180-1702-28942,28942,RGT,{'DTH'},0.0,10.0,2018
A180-1702-29050,29050,LVR,{'DTH'},0.0,10.0,2018
A180-1702-30286,30286,RGT,{'DTH'},0.0,10.0,2018
A180-1702-31622,31622,RGT,{'DTH'},0.0,10.0,2018
A180-1702-31947,31947,RGT,{'DTH'},0.0,10.0,2018
A180-1702-32066,32066,RGT,{'DTH'},0.0,10.0,2018
A180-1702-32305,32305,RGT,{'DTH'},1294780.0,1294790.0,2018
A180-1702-32533,32533,RGT,{'DTH'},93740.0,93750.0,2018
