Species,TagType,FL,Weight,AcousticTag,RFID,Setup
FCS,Acoustic,107.0,15.6,46747,3DD.003BEE86D2,2018
FCS,Acoustic,111.0,18.8,46711,3DD.003BEE86D3,2018
FCS,Acoustic,114.0,17.4,46716,3DD.003BEE86D5,2018
FCS,Acoustic,97.0,10.8,46750,3DD.003BEE86D8,2018
FCS,Acoustic,107.0,15.2,46739,3DD.003BEE86DB,2018
FCS,Acoustic,100.0,13.7,46749,3DD.003BEE86DE,2018
FCS,Acoustic,109.0,16.1,46736,3DD.003BEE86E7,2018
FCS,Acoustic,109.0,16.4,46742,3DD.003BEE86ED,2018
FCS,Acoustic,108.0,15.5,46745,3DD.003BEE86F0,2018
FCS,Acoustic,105.0,15.5,46748,3DD.003BEE86F2,2018
FCS,Acoustic,123.0,24.7,46721,3DD.003BEE86F3,2018
FCS,Acoustic,96.0,11.8,46727,3DD.003BEE86F4,2018
FCS,Acoustic,103.0,15.0,46738,3DD.003BEE86F6,2018
FCS,Acoustic,119.0,20.5,46725,3DD.003BEE86F9,2018
FCS,Acoustic,112.0,17.1,46726,3DD.003BEE86FB,2018
FCS,Acoustic,105.0,14.1,46737,3DD.003BEE86FC,2018
FCS,Acoustic,110.0,17.2,46723,3DD.003BEE86FF,2018
FCS,Acoustic,113.0,16.6,46734,3DD.003BEE8703,2018
FCS,Acoustic,107.0,14.5,46743,3DD.003BEE8705,2018
FCS,Acoustic,117.0,21.2,46718,3DD.003BEE8707,2018
FCS,Acoustic,116.0,20.0,46744,3DD.003BEE8709,2018
FCS,Acoustic,110.0,18.6,46728,3DD.003BEE870A,2018
FCS,Acoustic,113.0,19.2,46713,3DD.003BEE870B,2018
FCS,Acoustic,120.0,21.7,46730,3DD.003BEE870D,2018
FCS,Acoustic,106.0,15.0,46741,3DD.003BEE870E,2018
FCS,Acoustic,118.0,20.3,46735,3DD.003BEE8713,2018
FCS,Acoustic,100.0,12.5,46754,3DD.003BEE8714,2018
FCS,Acoustic,125.0,24.1,46724,3DD.003BEE8715,2018
FCS,Acoustic,106.0,16.3,46717,3DD.003BEE871B,2018
FCS,Acoustic,101.0,12.4,46752,3DD.003BEE871C,2018
FCS,Acoustic,112.0,18.5,46731,3DD.003BEE871D,2018
FCS,Acoustic,114.0,18.3,46714,3DD.003BEE871E,2018
FCS,Acoustic,103.0,13.8,46753,3DD.003BEE8720,2018
FCS,Acoustic,121.0,24.8,46729,3DD.003BEE8721,2018
FCS,Acoustic,104.0,13.9,46755,3DD.003BEE8724,2018
FCS,Acoustic,105.0,16.8,46712,3DD.003BEE8726,2018
FCS,Acoustic,117.0,20.2,46722,3DD.003BEE8727,2018
FCS,Acoustic,110.0,17.4,46715,3DD.003BEE8728,2018
FCS,Acoustic,111.0,17.7,46719,3DD.003BEE8729,2018
FCS,Acoustic,100.0,11.4,46746,3DD.003BEE872F,2018
FCS,Acoustic,107.0,16.1,46733,3DD.003BEE8732,2018
FCS,Acoustic,117.0,21.5,46720,3DD.003BEE8733,2018
FCS,Acoustic,96.0,10.4,46667,3DD.003BEE8EA6,2018
FCS,Acoustic,102.0,13.7,46676,3DD.003BEE8EA8,2018
FCS,Acoustic,98.0,12.8,46669,3DD.003BEE8EAB,2018
FCS,Acoustic,105.0,13.3,46670,3DD.003BEE8EB3,2018
FCS,Acoustic,99.0,12.4,46674,3DD.003BEE8EB8,2018
FCS,Acoustic,97.0,10.8,46659,3DD.003BEE8EC1,2018
FCS,Acoustic,102.0,12.5,46672,3DD.003BEE8EC8,2018
FCS,Acoustic,108.0,16.2,46660,3DD.003BEE8ECC,2018
FCS,Acoustic,106.0,16.2,46668,3DD.003BEE8ECF,2018
FCS,Acoustic,106.0,14.5,46664,3DD.003BEE8ED4,2018
FCS,Acoustic,105.0,13.9,46657,3DD.003BEE8ED5,2018
FCS,Acoustic,95.0,10.1,46673,3DD.003BEE8EDB,2018
FCS,Acoustic,105.0,14.0,46666,3DD.003BEE8EE3,2018
FCS,Acoustic,101.0,12.4,46680,3DD.003BEE8EEA,2018
FCS,Acoustic,105.0,14.5,46677,3DD.003BEE8EED,2018
FCS,Acoustic,99.0,11.8,46663,3DD.003BEE8EFB,2018
FCS,Acoustic,99.0,11.6,46665,3DD.003BEE8EFF,2018
